Geographical region,Country of nationality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Europe Other,Serbia and Montenegro,"19,672","20,255",z,z,z,z,z,z,z,z,z,z,z
Africa Sub-Saharan,Seychelles,217,191,188,136,142,140,100,92,100,112,129,134,118
Africa Sub-Saharan,Sierra Leone,"5,746","6,172","4,592","3,489","3,269","3,275","2,580","2,421","2,489","2,338","1,908","1,975","2,068"
Asia South East,Singapore,"1,854","2,096","2,055","2,072","2,145","2,588","3,051","3,388","3,882","3,884","3,813","3,685","3,707"
EU 8,Slovakia,8,4,2,2,0,0,0,0,0,0,0,0,0
EU 8,Slovenia,1,0,3,5,0,0,1,0,0,0,0,0,0
Oceania,Solomon Islands,16,7,10,8,6,2,2,5,4,7,3,8,7
Africa Sub-Saharan,Somalia,"5,212","3,248","3,261","2,472","2,511","2,890","2,039","1,570","1,534","1,120",727,827,"1,167"
Africa Sub-Saharan,South Africa,"31,791","21,907","17,276","19,949","105,676","111,497","109,195","102,420","95,571","87,797","99,398","84,433","99,417"
Other,South Georgia and South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
EU 14,Spain,6,2,7,3,0,1,1,1,1,0,1,0,2
Asia South,Sri Lanka,"30,801","35,846","32,117","30,831","29,601","32,974","26,156","21,294","22,616","21,818","22,687","20,781","22,787"
Other,St. Helena (British),0,0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,St. Kitts and Nevis,27,32,21,27,19,21,27,53,42,63,87,124,113
America Central and South,St. Lucia,303,304,226,214,161,134,96,85,77,87,122,99,86
America Central and South,St. Maarten (Dutch Part),z,z,z,z,z,z,0,0,0,0,0,0,0
America Central and South,St. Martin (French Part),0,0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,St. Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,St. Vincent and the Grenadines,160,174,139,113,100,102,81,85,77,60,59,52,52
Other,Stateless,"1,861","1,730","1,156",838,709,577,482,297,196,152,175,164,390
Africa North,Sudan,"8,616","9,694","8,681","6,759","6,689","7,197","6,884","5,758","6,155","5,210","4,103","4,218","5,681"
Africa Sub-Saharan,Sudan (South),z,z,z,z,z,z,0,0,244,174,248,219,255
America Central and South,Surinam,244,191,236,145,116,105,84,115,137,93,114,75,99
Europe Other,Svalbard and Jan Mayen,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa Sub-Saharan,Swaziland,264,79,72,64,346,399,322,405,313,334,353,298,336
EU 14,Sweden,18,4,2,5,3,1,4,1,0,0,0,1,1
Europe Other,Switzerland,4,20,4,3,1,2,1,0,1,1,1,0,1
Middle East,Syria,"6,948","7,677","5,540","5,577","6,416","5,522","5,739","3,490","3,812","3,251","5,918","8,959","8,111"
Asia East,Taiwan,"37,914","40,723","37,033","30,184","6,303","4,315","4,290","5,165","4,982","5,005","5,160","5,009","5,117"
Asia Central,Tajikistan,350,357,344,396,304,377,332,401,379,398,313,347,421
Africa Sub-Saharan,Tanzania,"7,522","7,775","7,336","6,336","5,142","4,619","4,832","4,603","4,752","5,072","4,957","4,336","4,721"
Asia South East,Thailand,"39,503","39,362","41,564","41,528","46,223","52,164","58,117","59,859","69,849","67,515","66,837","73,808","81,714"
Africa Sub-Saharan,Togo,506,505,435,421,366,382,303,336,281,298,279,271,344
Oceania,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Tonga,26,31,24,17,20,18,18,10,25,31,27,16,13
America Central and South,Trinidad and Tobago,"1,743","1,453","1,396","1,193",895,844,649,479,510,510,493,487,499
Africa North,Tunisia,"5,047","4,738","4,822","4,309","4,327","4,233","4,500","5,046","5,751","5,470","5,776","6,137","6,228"
Europe Other,Turkey,"67,652","78,698","80,016","84,020","79,739","87,817","90,316","91,079","98,181","100,327","103,151","107,317","115,281"
Asia Central,Turkmenistan,"1,737","1,226","1,042","1,149","1,455","1,190","1,125","1,091",896,875,800,699,771
Other,Turks and Caicos Islands (British),0,1,1,0,0,0,1,0,0,0,1,0,0
Oceania,Tuvalu,1,3,0,0,0,0,1,0,0,0,2,0,0
Africa Sub-Saharan,Uganda,"7,146","7,151","7,228","7,697","6,227","5,729","5,481","5,122","5,352","5,415","5,159","4,009","4,727"
Europe Other,Ukraine,"31,247","35,316","36,313","31,970","29,061","31,631","38,142","38,037","43,284","35,039","31,626","34,272","38,553"
Middle East,United Arab Emirates,"18,338","22,407","19,719","23,755","21,185","24,826","28,394","29,893","40,602","8,944","8,780","7,571","6,443"
America North,United States,"30,886","32,814","34,192","36,411","35,896","38,495","36,830","34,910","37,803","37,349","36,622","34,792","35,358"
America Central and South,Uruguay,79,78,76,93,66,98,83,67,61,78,108,83,82
Asia Central,Uzbekistan,"2,594","2,556","3,034","2,652","2,029","1,892","2,207","2,534","3,010","2,731","2,583","2,514","2,825"
Oceania,Vanuatu,1,2,5,5,0,2,3,0,2,3,3,3,6
Europe Other,Vatican City,9,8,12,7,10,6,8,10,4,3,1,0,0
America Central and South,Venezuela,704,953,"1,325","1,293","4,198","3,340","2,081","1,575","1,217","9,352","10,420","6,129","5,443"
Asia South East,Vietnam,"6,096","6,745","7,657","8,315","7,856","9,916","11,984","12,009","13,031","13,571","15,395","15,715","17,456"
Other,Virgin Islands (British),0,0,0,0,0,0,0,1,0,0,0,1,0
America North,Virgin Islands (US),0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa North,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle East,Yemen,"3,611","3,903","3,439","2,912","2,468","2,462","1,983","2,106","2,538","2,379","1,081","1,056","1,909"
Africa Sub-Saharan,Zambia,"5,404","5,469","5,329","4,606","3,825","3,764","3,723","3,877","3,980","3,675","3,495","3,269","3,628"
Africa Sub-Saharan,Zimbabwe,"18,915","14,847","12,329","9,693","7,137","8,015","8,064","7,390","7,214","7,749","8,021","7,402","7,925"
